,most_likely_dog,retweets,retweets,retweets,retweets,favorites,favorites,favorites,favorites
,count,mean,min,median,max,mean,min,median,max
most_likely_dog,,,,,,,,,
Afghan_hound,3,5005.333333333333,2254,3958.0,8804,17231.666666666668,7910,12784.0,31001
Airedale,12,2188.0833333333335,104,1269.0,14760,3038.25,0,2277.5,10170
American_Staffordshire_terrier,16,5739.8125,184,2528.5,36997,9701.6875,0,3144.5,56868
Appenzeller,2,3656.0,920,3656.0,6392,15025.5,2039,15025.5,28012
Australian_terrier,2,2888.5,1507,2888.5,4270,11755.0,4294,11755.0,19216
Bedlington_terrier,6,2940.5,728,3087.0,6157,10638.166666666666,3724,10974.0,18167
Bernese_mountain_dog,11,2014.3636363636363,42,965.0,8469,8256.454545454546,115,4005.0,28682
Blenheim_spaniel,10,2704.5,52,1771.0,7833,7248.7,0,3397.5,28680
Border_collie,12,2699.4166666666665,41,1987.0,11012,7575.0,102,6746.0,21052
Border_terrier,7,8353.142857142857,39,2621.0,43208,24831.285714285714,0,3486.0,131685
Boston_bull,12,3033.6666666666665,451,1155.0,11734,7887.333333333333,0,2870.0,38116
Bouvier_des_Flandres,1,1779.0,1779,1779.0,1779,11396.0,11396,11396.0,11396
Brabancon_griffon,3,564.3333333333334,517,584.0,592,1447.3333333333333,1322,1399.0,1621
Brittany_spaniel,8,2000.75,141,1472.5,7870,5964.625,437,4235.5,18531
Cardigan,21,4084.7619047619046,53,1936.0,27168,9913.714285714286,0,4418.0,47062
Chesapeake_Bay_retriever,31,2127.4193548387098,69,1504.0,5818,6543.8387096774195,0,4211.0,25583
Chihuahua,90,2349.2444444444445,51,910.5,40085,7022.2555555555555,0,2574.5,98323
Dandie_Dinmont,7,1486.857142857143,25,1407.0,4777,4420.714285714285,237,3653.0,12364
Doberman,9,8260.555555555555,546,2306.0,55897,21848.222222222223,1564,10527.0,119305
English_setter,8,1634.0,41,863.5,7445,4452.875,112,2913.5,12830
English_springer,10,1269.7,268,581.5,4154,5108.8,662,1806.5,19261
EntleBucher,1,18345.0,18345,18345.0,18345,30941.0,30941,30941.0,30941
Eskimo_dog,22,2152.0454545454545,139,1385.0,8084,7406.727272727273,0,3319.5,24254
French_bulldog,31,2400.032258064516,24,2112.0,6810,9725.322580645161,0,5762.0,28451
German_shepherd,21,2177.095238095238,24,1735.0,9547,6623.571428571428,0,4526.0,25934
German_short-haired_pointer,8,1140.125,113,734.5,4032,5422.25,353,3621.0,25100
Gordon_setter,4,2300.75,75,1361.0,6406,6710.5,347,4141.0,18213
Great_Dane,11,1826.090909090909,235,1267.0,8218,7263.272727272727,0,3728.0,41346
Great_Pyrenees,15,1615.5333333333333,220,868.0,4700,6368.8,904,3130.0,22276
Greater_Swiss_Mountain_dog,3,945.6666666666666,465,745.0,1627,434.3333333333333,0,0.0,1303
Ibizan_hound,4,1946.25,42,477.0,6789,4890.75,120,1626.5,16190
Irish_setter,4,1750.0,515,1831.5,2822,7516.75,2072,8662.5,10670
Irish_terrier,6,1221.0,51,449.5,5022,5586.333333333333,124,1597.5,25821
Irish_water_spaniel,3,13010.333333333334,1737,7338.0,29956,36301.333333333336,5188,29668.0,74048
Irish_wolfhound,1,1315.0,1315,1315.0,1315,3292.0,3292,3292.0,3292
Italian_greyhound,17,5007.823529411765,18,1088.0,22402,11207.058823529413,0,2108.0,73652
Japanese_spaniel,1,706.0,706,706.0,706,2586.0,2586,2586.0,2586
Labrador_retriever,106,2833.9716981132074,1,1371.0,28291,8670.17924528302,0,3954.5,85544
Lakeland_terrier,17,1526.4705882352941,200,1026.0,5596,3253.4117647058824,0,2981.0,8694
Leonberg,3,2127.6666666666665,1649,1717.0,3017,8934.0,4863,6237.0,15702
Lhasa,5,770.2,84,390.0,1767,2311.0,218,1462.0,4777
Maltese_dog,19,1043.5263157894738,40,747.0,5923,2707.0526315789475,96,2287.0,11158
Mexican_hairless,7,1833.142857142857,355,1622.0,4312,8396.57142857143,1707,4592.0,23426
Newfoundland,7,1147.142857142857,70,729.0,3064,5643.571428571428,159,2746.0,22608
Norfolk_terrier,6,1054.8333333333333,221,805.0,2760,3624.8333333333335,1035,2375.5,10380
Norwegian_elkhound,11,3323.5454545454545,31,3490.0,6406,9112.727272727272,0,8371.0,23033
Norwich_terrier,5,1822.4,148,816.0,5214,7668.8,494,2740.0,22571
Old_English_sheepdog,14,3673.4285714285716,27,986.5,16229,6171.857142857143,0,1742.5,36208
Pekinese,14,1586.5714285714287,345,1474.0,4974,6145.785714285715,592,5003.0,21547
Pembroke,94,3041.81914893617,50,1263.0,30887,9193.41489361702,0,3398.5,77919
Pomeranian,41,1947.6341463414635,2,904.0,8116,4215.780487804878,0,2148.0,22504
Rhodesian_ridgeback,4,1433.75,32,1233.0,3237,4791.0,94,4796.5,9477
Rottweiler,18,3665.8333333333335,83,1237.5,18345,7642.5,0,2247.5,53071
Saint_Bernard,7,1710.5714285714287,426,1279.0,3892,4868.857142857143,578,5191.0,9325
Saluki,4,2584.25,1098,1549.0,6141,15060.0,4546,8265.5,39163
Samoyed,42,4123.666666666667,100,1273.5,76687,11153.214285714286,0,3826.0,154395
Scotch_terrier,1,912.0,912,912.0,912,3177.0,3177,3177.0,3177
Scottish_deerhound,4,566.25,191,576.5,921,1696.25,568,1906.0,2405
Shetland_sheepdog,18,3069.4444444444443,102,1555.5,17982,6628.222222222223,0,3641.5,32305
Shih-Tzu,20,800.55,121,617.0,2260,2432.15,496,2101.5,6647
Siberian_husky,20,3520.3,31,1695.5,13701,6290.1,0,2527.0,28640
Staffordshire_bullterrier,20,2837.9,124,1455.0,9982,8893.2,0,3264.0,34243
Sussex_spaniel,2,4893.0,4718,4893.0,5068,10319.0,10152,10319.0,10486
